province_state,confirmed,recovered,deaths,active,incident_rate,date,n,s(t),i(t),r(t)
american samoa,0,,0,,0.0,2021-01-06,,,,
arizona,567474,80302.0,9317,477855.0,7796.346526455143,2021-01-06,7278717.0,6711243.0,477855.0,89619.0
arkansas,238888,210617.0,3836,24435.0,7915.95478036347,2021-01-06,3017804.0,2778916.0,24435.0,214453.0
california,2584823,,27360,,6544.164827172594,2021-01-06,39498134.112810425,36913311.112810425,,
colorado,372864,18534.0,5523,323368.0,6023.769799483775,2021-01-06,6189877.973622991,5817013.973622991,323368.0,24057.0
connecticut,196968,9800.0,6192,180976.0,5524.604330591058,2021-01-06,3565286.9999999995,3368318.9999999995,180976.0,15992.0
delaware,61100,18851.0,1093,41156.0,6274.620955385494,2021-01-06,973763.9999999999,912663.9999999999,41156.0,19944.0
diamond princess,49,,0,,,2021-01-06,,,,
district of columbia,30166,21337.0,801,8028.0,4274.3241577388,2021-01-06,705749.0,675583.0,8028.0,22138.0
florida,1392123,,22188,,6481.702425167046,2021-01-06,21477737.0,20085614.0,,
georgia,706154,,11072,,6650.898245271004,2021-01-06,10617423.0,9911269.0,,
grand princess,103,,3,,,2021-01-06,,,,
guam,7357,7132.0,123,102.0,4479.720390430435,2021-01-06,164229.00000000003,156872.00000000003,102.0,7255.0
hawaii,22757,11958.0,289,10510.0,1607.278059033585,2021-01-06,1415872.0,1393115.0,10510.0,12247.0
idaho,144843,61493.0,1471,81879.0,8105.077319515519,2021-01-06,1787065.0,1642222.0,81879.0,62964.0
illinois,991719,,18562,,7826.175890584313,2021-01-06,12671821.0,11680102.0,,
indiana,533083,354859.0,9800,168424.0,7918.384710895471,2021-01-06,6732219.000000001,6199136.000000001,168424.0,364659.0
iowa,288298,247853.0,3999,36446.0,9137.61025904338,2021-01-06,3155070.0000000005,2866772.0000000005,36446.0,251852.0
kansas,233580,4643.0,3006,226252.0,8028.691723583521,2021-01-06,2909315.83926533,2675735.83926533,226252.0,7649.0
kentucky,280835,37502.0,2772,240561.0,6285.934534600003,2021-01-06,4467673.0,4186838.0,240561.0,40274.0
